"","Average Performance of Students in EVS in Class 5, Percent (Total)"
"Andhra Pradesh","63.5 (2017)"
"Andaman & Nicobar Islands","53.5 (2017)"
"Arunachal Pradesh","42.6 (2017)"
"Assam","63.5 (2017)"
"Bihar","57.3 (2017)"
"Chandigarh","67.8 (2017)"
"Chhattisgarh","52.4 (2017)"
"Gujarat","57.2 (2017)"
"Daman & Diu","46 (2017)"
"Dadra & Nagar Haveli","63.2 (2017)"
"Goa","47.6 (2017)"
"Haryana","51 (2017)"
"Jammu & Kashmir","54.9 (2017)"
"Himachal Pradesh","54.6 (2017)"
"Jharkhand","63.1 (2017)"
"Karnataka","66.9 (2017)"
"Kerala","65.2 (2017)"
"Madhya Pradesh","55 (2017)"
"Lakshadweep","44.8 (2017)"
"Maharashtra","55.1 (2017)"
"Manipur","60.7 (2017)"
"Meghalaya","44.4 (2017)"
"NCT of Delhi","48.3 (2017)"
"Nagaland","50.3 (2017)"
"Mizoram","51.9 (2017)"
"Odisha","54.7 (2017)"
"Punjab","47.8 (2017)"
"Puducherry","51.7 (2017)"
"Rajasthan","69.4 (2017)"
"Sikkim","44.3 (2017)"
"Tamil Nadu","52.1 (2017)"
"Telangana","54.2 (2017)"
"Tripura","56.1 (2017)"
"Uttar Pradesh","51.4 (2017)"
"Uttarakhand","61.8 (2017)"
"West Bengal","53.3 (2017)"
