"","Average Performance of Students in Science in Class 8, Percent (Total)"
"Andhra Pradesh","48.1 (2017)"
"Andaman & Nicobar Islands","35.8 (2017)"
"Arunachal Pradesh","33.5 (2017)"
"Assam","49.8 (2017)"
"Bihar","43.3 (2017)"
"Chandigarh","51.5 (2017)"
"Chhattisgarh","42.9 (2017)"
"Gujarat","51.5 (2017)"
"Daman & Diu","33.3 (2017)"
"Dadra & Nagar Haveli","49.7 (2017)"
"Goa","38.1 (2017)"
"Haryana","40.9 (2017)"
"Jammu & Kashmir","36.1 (2017)"
"Himachal Pradesh","41.9 (2017)"
"Jharkhand","53 (2017)"
"Karnataka","51.8 (2017)"
"Kerala","42.1 (2017)"
"Madhya Pradesh","42.3 (2017)"
"Lakshadweep","32.3 (2017)"
"Maharashtra","40.2 (2017)"
"Manipur","42.1 (2017)"
"Meghalaya","34.1 (2017)"
"NCT of Delhi","33.5 (2017)"
"Nagaland","34.5 (2017)"
"Mizoram","32.9 (2017)"
"Odisha","42.3 (2017)"
"Punjab","34.3 (2017)"
"Puducherry","30.9 (2017)"
"Rajasthan","61.7 (2017)"
"Sikkim","37.2 (2017)"
"Tamil Nadu","36 (2017)"
"Telangana","37.4 (2017)"
"Tripura","40.3 (2017)"
"Uttar Pradesh","40.4 (2017)"
"Uttarakhand","46.8 (2017)"
"West Bengal","40.4 (2017)"
